activity_key,report_month,customer_id,product_id,region_id,revenue,transactions,active_flag,retained_flag,expansion_revenue,churn_revenue,customer_key,product_key,region_key
71,2024-01,CUST02997,PROD023,R12,1255,1,1,1,209.73,40.13,2997,23,12
72,2024-01,CUST00409,PROD015,R09,21905,2,1,1,2943.04,319.71,409,15,9
73,2024-01,CUST02189,PROD001,R11,5472,2,1,1,305.17,236.0,2189,1,11
74,2024-01,CUST02371,PROD010,R11,4375,19,1,1,59.0,101.66,2371,10,11
75,2024-01,CUST04842,PROD012,R09,7007,16,1,1,1305.55,325.7,4842,12,9
76,2024-01,CUST00483,PROD020,R03,2013,18,1,1,375.47,48.15,483,20,3
77,2024-01,CUST03969,PROD022,R02,1707,13,1,1,30.33,41.87,3969,22,2
78,2024-01,CUST02842,PROD018,R02,2959,19,1,1,360.67,18.45,2842,18,2
79,2024-01,CUST03775,PROD016,R03,7423,6,1,1,1047.96,54.37,3775,16,3
80,2024-01,CUST04884,PROD022,R07,10227,5,1,1,1241.08,169.23,4884,22,7
81,2024-01,CUST01289,PROD013,R03,2233,6,1,1,408.3,54.8,1289,13,3
82,2024-01,CUST02460,PROD019,R09,18062,20,0,1,1840.89,164.99,2460,19,9
83,2024-01,CUST00030,PROD001,R10,24675,4,1,1,1198.76,751.19,30,1,10
84,2024-01,CUST02260,PROD017,R11,4009,6,1,1,324.41,74.4,2260,17,11
85,2024-01,CUST02801,PROD021,R11,2372,1,1,0,267.45,97.78,2801,21,11
86,2024-01,CUST01078,PROD010,R03,2917,16,1,1,391.69,117.98,1078,10,3
87,2024-01,CUST01727,PROD008,R10,6743,8,1,0,580.91,68.61,1727,8,10
88,2024-01,CUST01901,PROD021,R05,2141,15,1,1,427.47,19.55,1901,21,5
89,2024-01,CUST02958,PROD001,R07,1543,24,1,0,193.08,11.45,2958,1,7
90,2024-01,CUST00094,PROD004,R09,907,11,1,1,154.54,35.14,94,4,9
91,2024-01,CUST03826,PROD020,R02,2712,1,1,1,309.19,95.41,3826,20,2
92,2024-01,CUST01372,PROD024,R02,579,24,1,1,15.69,14.3,1372,24,2
93,2024-01,CUST01033,PROD008,R09,1796,10,1,1,226.1,45.34,1033,8,9
94,2024-01,CUST01765,PROD024,R11,402,4,1,1,16.23,15.97,1765,24,11
95,2024-01,CUST02237,PROD018,R11,7103,1,0,1,592.04,254.42,2237,18,11
96,2024-01,CUST04509,PROD012,R06,7440,5,1,1,732.8,74.59,4509,12,6
97,2024-01,CUST02054,PROD012,R03,4801,23,1,1,955.35,112.19,2054,12,3
98,2024-01,CUST01393,PROD017,R07,7094,24,1,0,149.61,18.37,1393,17,7
99,2024-01,CUST04692,PROD017,R05,6119,22,1,1,1209.55,183.34,4692,17,5
100,2024-01,CUST04462,PROD018,R12,17264,21,1,1,2307.47,690.18,4462,18,12
101,2024-01,CUST02890,PROD016,R10,2727,9,1,1,505.31,111.21,2890,16,10
102,2024-01,CUST03362,PROD015,R12,5153,5,1,1,62.84,140.56,3362,15,12
103,2024-01,CUST00722,PROD018,R04,6818,24,1,1,255.71,58.2,722,18,4
104,2024-01,CUST00437,PROD016,R10,1952,12,1,1,159.47,97.57,437,16,10
105,2024-01,CUST00491,PROD010,R08,6492,8,1,1,136.58,104.79,491,10,8
106,2024-01,CUST03302,PROD008,R08,2722,22,1,0,121.9,62.3,3302,8,8
107,2024-01,CUST04536,PROD017,R03,14469,6,1,1,1782.84,640.15,4536,17,3
108,2024-01,CUST00548,PROD010,R06,2381,6,1,1,379.41,89.47,548,10,6
109,2024-01,CUST01126,PROD007,R05,18301,20,1,1,3626.14,806.97,1126,7,5
110,2024-01,CUST00448,PROD008,R05,3128,13,1,1,500.8,76.41,448,8,5
111,2024-01,CUST04642,PROD014,R08,4391,19,1,1,642.08,171.23,4642,14,8
112,2024-01,CUST04451,PROD021,R06,2438,7,1,1,318.04,61.81,4451,21,6
113,2024-01,CUST01171,PROD025,R02,8199,18,1,1,547.82,224.16,1171,25,2
114,2024-01,CUST00134,PROD008,R12,1684,8,1,1,33.82,71.45,134,8,12
115,2024-01,CUST00681,PROD025,R02,2270,16,1,1,238.24,4.08,681,25,2
116,2024-01,CUST01407,PROD024,R02,1535,4,1,1,109.59,42.25,1407,24,2
117,2024-01,CUST01128,PROD023,R04,2923,17,1,1,9.61,36.73,1128,23,4
118,2024-01,CUST00081,PROD016,R09,8047,17,0,1,1448.22,1.58,81,16,9
119,2024-01,CUST00556,PROD020,R02,19413,16,1,1,1212.08,723.89,556,20,2
120,2024-01,CUST01212,PROD005,R11,6075,10,1,1,519.15,128.28,1212,5,11
121,2024-01,CUST01575,PROD013,R05,2868,9,1,1,368.62,127.63,1575,13,5
122,2024-01,CUST04366,PROD022,R11,1161,5,1,1,220.09,31.24,4366,22,11
123,2024-01,CUST00005,PROD015,R07,18294,14,1,1,2825.14,161.79,5,15,7
124,2024-01,CUST02493,PROD025,R06,2849,1,0,1,395.59,70.01,2493,25,6
125,2024-01,CUST03372,PROD023,R10,1070,14,1,1,0.06,27.1,3372,23,10
126,2024-01,CUST04019,PROD024,R03,927,21,1,0,141.17,3.73,4019,24,3
127,2024-01,CUST00015,PROD025,R01,6867,17,1,1,109.17,260.96,15,25,1
128,2024-01,CUST02870,PROD009,R06,1001,15,1,0,66.83,16.41,2870,9,6
129,2024-01,CUST04195,PROD016,R12,2162,12,1,1,218.45,3.25,4195,16,12
130,2024-01,CUST03326,PROD021,R11,2973,14,1,1,21.84,118.77,3326,21,11
131,2024-01,CUST00006,PROD024,R10,6445,21,1,1,58.21,24.82,6,24,10
132,2024-01,CUST04878,PROD006,R07,402,14,1,0,39.64,18.86,4878,6,7
133,2024-01,CUST01256,PROD012,R10,2425,7,1,1,180.05,63.32,1256,12,10
134,2024-01,CUST03539,PROD023,R01,2018,21,1,1,173.12,76.91,3539,23,1
135,2024-01,CUST01882,PROD016,R07,7499,2,1,1,1070.57,327.59,1882,16,7
136,2024-01,CUST00497,PROD009,R03,657,15,1,1,5.58,21.35,497,9,3
137,2024-01,CUST03382,PROD002,R12,6863,12,1,1,1004.91,254.57,3382,2,12
138,2024-01,CUST02555,PROD006,R12,2245,24,1,1,79.54,6.24,2555,6,12
139,2024-01,CUST03324,PROD017,R05,1810,21,1,1,211.16,61.31,3324,17,5
140,2024-01,CUST01789,PROD006,R10,5782,4,1,1,591.33,111.26,1789,6,10
141,2024-01,CUST01156,PROD007,R05,2151,14,1,1,245.46,76.67,1156,7,5
142,2024-01,CUST02687,PROD009,R07,353,7,1,1,66.25,1.51,2687,9,7
143,2024-01,CUST02594,PROD020,R10,1376,13,1,1,92.56,53.18,2594,20,10
144,2024-01,CUST04776,PROD021,R08,7631,5,1,1,365.76,355.74,4776,21,8
145,2024-01,CUST04679,PROD009,R11,2052,16,1,1,77.17,96.82,4679,9,11
146,2024-01,CUST01801,PROD024,R08,435,13,1,1,20.17,9.34,1801,24,8
147,2024-01,CUST00298,PROD016,R07,1759,1,1,1,234.23,23.96,298,16,7
148,2024-01,CUST03769,PROD023,R11,6364,13,0,1,206.37,32.88,3769,23,11
149,2024-01,CUST01590,PROD018,R02,3574,12,1,1,137.81,23.69,1590,18,2
150,2024-01,CUST01652,PROD009,R07,2001,6,1,1,68.23,85.26,1652,9,7
151,2024-01,CUST00470,PROD007,R11,8140,22,0,0,608.24,400.03,470,7,11
152,2024-01,CUST00510,PROD010,R01,1344,6,1,1,88.41,64.81,510,10,1
153,2024-01,CUST03863,PROD002,R09,2738,1,1,1,320.7,80.21,3863,2,9
154,2024-01,CUST02782,PROD004,R04,2249,17,1,1,202.5,87.19,2782,4,4
155,2024-01,CUST01554,PROD007,R08,4224,24,1,1,785.94,75.78,1554,7,8
156,2024-01,CUST04620,PROD021,R05,13379,16,1,1,1166.8,634.76,4620,21,5
157,2024-01,CUST02175,PROD001,R08,2876,15,1,1,210.74,70.96,2175,1,8
158,2024-01,CUST04359,PROD008,R09,6818,9,1,0,539.36,115.13,4359,8,9
159,2024-01,CUST00009,PROD006,R02,2226,17,1,1,359.82,100.25,9,6,2
160,2024-01,CUST03734,PROD019,R02,3194,13,1,1,27.37,44.85,3734,19,2
161,2024-01,CUST04760,PROD006,R05,2857,4,0,1,195.74,97.69,4760,6,5
162,2024-01,CUST01183,PROD024,R06,1166,23,0,1,79.4,6.57,1183,24,6
163,2024-01,CUST03493,PROD020,R11,2034,4,1,0,326.74,66.82,3493,20,11
164,2024-01,CUST02951,PROD024,R12,7668,22,1,0,1216.52,127.63,2951,24,12
165,2024-01,CUST03406,PROD024,R10,23993,4,1,1,4476.88,996.61,3406,24,10
166,2024-01,CUST04909,PROD002,R10,2820,22,1,1,436.71,45.36,4909,2,10
167,2024-01,CUST00194,PROD004,R01,2330,13,1,1,211.69,94.03,194,4,1
168,2024-01,CUST01743,PROD019,R02,20784,15,1,1,3350.15,554.54,1743,19,2
169,2024-01,CUST04892,PROD025,R05,743,8,1,1,121.45,24.21,4892,25,5
170,2024-01,CUST00812,PROD007,R01,691,22,1,1,60.83,21.27,812,7,1
171,2024-01,CUST01110,PROD013,R11,8608,17,1,1,1271.93,322.72,1110,13,11
172,2024-01,CUST01244,PROD007,R11,1595,22,1,1,41.01,78.55,1244,7,11
173,2024-01,CUST00154,PROD015,R12,24982,8,1,1,892.63,182.0,154,15,12
174,2024-01,CUST00342,PROD011,R05,2609,3,1,1,228.92,56.34,342,11,5
175,2024-01,CUST01998,PROD008,R01,17327,20,1,1,2633.59,182.88,1998,8,1
176,2024-01,CUST03061,PROD022,R09,12030,5,1,1,2034.0,366.46,3061,22,9
177,2024-01,CUST04080,PROD009,R09,10068,19,1,1,891.09,263.58,4080,9,9
178,2024-01,CUST03885,PROD003,R12,7639,15,1,1,485.85,129.42,3885,3,12
179,2024-01,CUST01762,PROD003,R11,6144,9,1,0,801.31,186.37,1762,3,11
180,2024-01,CUST04664,PROD016,R09,22420,19,0,1,2645.38,870.31,4664,16,9
181,2024-01,CUST00998,PROD009,R02,1766,20,1,1,214.35,46.81,998,9,2
182,2024-01,CUST00365,PROD016,R12,1030,5,1,1,178.64,8.32,365,16,12
183,2024-01,CUST00105,PROD023,R12,22764,17,0,0,4321.3,1074.1,105,23,12
184,2024-01,CUST01247,PROD007,R10,1500,9,1,1,161.43,16.21,1247,7,10
185,2024-01,CUST03130,PROD013,R07,18641,4,1,1,2752.84,919.94,3130,13,7
186,2024-01,CUST04606,PROD012,R01,5829,13,1,0,244.2,11.15,4606,12,1
187,2024-01,CUST01470,PROD003,R04,2424,17,1,1,360.03,61.31,1470,3,4
188,2024-01,CUST02581,PROD011,R03,2921,18,1,1,77.83,73.33,2581,11,3
189,2024-01,CUST04519,PROD008,R07,2518,6,1,1,187.84,36.66,4519,8,7
190,2024-01,CUST02307,PROD007,R06,2229,21,1,1,291.19,22.61,2307,7,6
191,2024-01,CUST02770,PROD010,R06,17968,19,1,1,2370.86,506.13,2770,10,6
192,2024-01,CUST02277,PROD017,R03,1832,13,1,0,2.07,12.28,2277,17,3
193,2024-01,CUST03472,PROD019,R06,7299,5,1,1,1205.52,305.08,3472,19,6
194,2024-01,CUST01441,PROD009,R06,2636,22,1,1,79.0,124.67,1441,9,6
195,2024-01,CUST03022,PROD016,R08,2813,1,1,1,208.02,17.36,3022,16,8
196,2024-01,CUST02143,PROD001,R12,22791,6,0,1,169.67,1018.6,2143,1,12
197,2024-01,CUST04812,PROD008,R11,2066,23,1,1,379.46,12.69,4812,8,11
198,2024-01,CUST04869,PROD022,R07,17992,13,1,0,2847.36,274.77,4869,22,7
199,2024-01,CUST02413,PROD023,R01,13857,19,1,1,1839.24,361.42,2413,23,1
200,2024-01,CUST00057,PROD012,R09,4610,1,1,1,442.83,194.43,57,12,9
201,2024-01,CUST00751,PROD014,R12,9390,23,1,1,923.34,152.12,751,14,12
202,2024-01,CUST00363,PROD024,R12,8343,21,1,1,1349.41,79.39,363,24,12
203,2024-01,CUST04537,PROD014,R01,5517,15,1,1,748.47,69.12,4537,14,1
204,2024-01,CUST02064,PROD008,R04,2793,4,1,1,300.5,34.57,2064,8,4
205,2024-01,CUST03512,PROD015,R10,1424,22,1,1,59.33,19.67,3512,15,10
206,2024-01,CUST04061,PROD004,R03,626,10,1,1,88.44,24.9,4061,4,3
207,2024-01,CUST04601,PROD019,R10,1353,21,1,1,16.71,2.66,4601,19,10
208,2024-01,CUST01510,PROD018,R07,4084,9,1,1,704.57,57.91,1510,18,7
209,2024-01,CUST01083,PROD014,R06,1225,23,1,1,178.99,5.78,1083,14,6
210,2024-01,CUST02070,PROD018,R10,1384,6,0,1,238.54,7.94,2070,18,10
211,2024-01,CUST04921,PROD008,R12,8862,17,1,1,1636.65,130.48,4921,8,12
212,2024-01,CUST03055,PROD014,R03,4878,17,1,0,602.92,12.87,3055,14,3
213,2024-01,CUST04828,PROD014,R09,5002,10,1,1,143.54,220.88,4828,14,9
214,2024-01,CUST00854,PROD015,R07,2909,3,1,1,498.84,116.4,854,15,7
215,2024-01,CUST00125,PROD006,R10,14061,18,1,0,1714.37,330.71,125,6,10
216,2024-01,CUST03280,PROD021,R05,565,11,1,1,5.54,23.66,3280,21,5
217,2024-01,CUST03871,PROD019,R01,5502,6,1,1,704.29,266.03,3871,19,1
218,2024-01,CUST02369,PROD007,R06,6773,11,1,1,1276.3,229.14,2369,7,6
219,2024-01,CUST03245,PROD005,R02,6603,17,0,1,454.08,140.71,3245,5,2
220,2024-01,CUST03926,PROD002,R11,1620,20,1,1,56.77,62.25,3926,2,11
221,2024-01,CUST02605,PROD021,R09,2076,9,1,1,81.26,38.19,2605,21,9
222,2024-01,CUST04572,PROD003,R11,2263,1,1,1,415.59,112.76,4572,3,11
223,2024-01,CUST04547,PROD009,R08,603,21,1,1,17.78,6.63,4547,9,8
224,2024-01,CUST00621,PROD013,R01,2858,20,1,1,111.48,113.37,621,13,1
225,2024-01,CUST02516,PROD009,R10,7911,19,1,1,741.16,38.65,2516,9,10
226,2024-01,CUST03972,PROD002,R06,6491,23,1,1,657.03,149.75,3972,2,6
227,2024-01,CUST02509,PROD008,R06,5801,23,1,1,831.15,256.96,2509,8,6
228,2024-01,CUST03643,PROD007,R07,2105,24,1,1,277.62,101.24,3643,7,7
229,2024-01,CUST01505,PROD018,R02,7234,10,1,1,503.54,85.14,1505,18,2
230,2024-01,CUST03020,PROD013,R08,3148,24,1,1,305.98,126.31,3020,13,8
231,2024-01,CUST03873,PROD021,R08,2780,4,1,1,509.27,81.45,3873,21,8
232,2024-01,CUST04405,PROD018,R11,24302,19,1,0,96.02,514.09,4405,18,11
233,2024-01,CUST00208,PROD022,R08,8891,5,0,1,1427.08,412.18,208,22,8
234,2024-01,CUST00186,PROD011,R10,1373,16,1,1,34.06,0.7,186,11,10
235,2024-01,CUST04182,PROD024,R04,3152,12,1,1,176.04,73.79,4182,24,4
236,2024-01,CUST04590,PROD009,R03,19467,24,1,1,896.2,640.96,4590,9,3
237,2024-01,CUST01125,PROD011,R05,1989,5,1,1,21.73,62.78,1125,11,5
238,2024-01,CUST02735,PROD017,R03,2511,14,1,1,471.65,5.44,2735,17,3
239,2024-01,CUST00039,PROD018,R03,884,3,1,1,151.32,25.09,39,18,3
240,2024-01,CUST00338,PROD019,R02,18438,11,1,1,1604.0,601.5,338,19,2
241,2024-01,CUST03152,PROD014,R12,4091,14,1,1,292.33,155.2,3152,14,12
242,2024-01,CUST00547,PROD012,R04,2260,7,1,0,127.71,32.59,547,12,4
243,2024-01,CUST00719,PROD012,R08,437,3,1,1,25.01,17.81,719,12,8
244,2024-01,CUST02345,PROD013,R12,11461,23,1,1,1218.86,295.87,2345,13,12
245,2024-01,CUST03296,PROD020,R08,10147,10,1,0,1325.84,492.37,3296,20,8
246,2024-01,CUST02901,PROD025,R04,1767,14,1,0,238.56,25.64,2901,25,4
247,2024-01,CUST01532,PROD013,R04,387,11,1,1,60.82,4.33,1532,13,4
248,2024-01,CUST02364,PROD021,R02,5839,12,1,1,504.02,216.94,2364,21,2
249,2024-01,CUST03959,PROD007,R02,1549,3,1,0,206.12,18.17,3959,7,2
250,2024-01,CUST02201,PROD008,R02,1336,2,1,1,148.03,51.29,2201,8,2
251,2024-01,CUST04060,PROD002,R12,20303,7,1,1,1847.11,560.37,4060,2,12
252,2024-01,CUST04467,PROD009,R09,4479,22,1,1,153.64,77.67,4467,9,9
253,2024-01,CUST04260,PROD021,R04,2089,23,1,1,132.98,14.75,4260,21,4
254,2024-01,CUST03111,PROD003,R01,6505,18,1,1,385.53,44.68,3111,3,1
255,2024-01,CUST01059,PROD015,R02,5507,17,0,1,698.34,203.48,1059,15,2
256,2024-01,CUST03287,PROD025,R01,8869,8,1,1,575.11,329.77,3287,25,1
257,2024-01,CUST00045,PROD009,R02,1558,24,1,1,138.2,46.56,45,9,2
258,2024-01,CUST04261,PROD002,R06,865,15,1,1,33.7,17.88,4261,2,6
259,2024-01,CUST03134,PROD006,R02,12381,13,1,1,548.88,257.29,3134,6,2
260,2024-01,CUST03476,PROD020,R04,2444,7,1,1,79.7,93.34,3476,20,4
261,2024-01,CUST01709,PROD001,R11,19865,10,1,1,3480.3,932.73,1709,1,11
262,2024-01,CUST01466,PROD004,R12,337,11,1,1,64.83,9.94,1466,4,12
263,2024-01,CUST02386,PROD025,R11,4607,14,1,1,72.35,79.46,2386,25,11
264,2024-01,CUST01975,PROD011,R05,2478,16,1,1,98.97,73.99,1975,11,5
265,2024-01,CUST04644,PROD013,R02,4871,6,1,1,833.61,200.58,4644,13,2
266,2024-01,CUST01408,PROD006,R04,465,12,1,1,28.33,10.57,1408,6,4
267,2024-01,CUST02377,PROD022,R09,3863,13,1,1,94.49,41.88,2377,22,9
268,2024-01,CUST02399,PROD017,R08,4279,23,1,1,801.99,43.93,2399,17,8
269,2024-01,CUST02487,PROD003,R08,3728,19,1,1,390.7,25.81,2487,3,8
270,2024-01,CUST04841,PROD001,R06,21057,5,1,0,978.33,558.09,4841,1,6
271,2024-01,CUST00037,PROD013,R11,2981,18,1,1,337.05,7.54,37,13,11
272,2024-01,CUST02606,PROD008,R08,7469,6,1,0,665.06,27.54,2606,8,8
273,2024-01,CUST01092,PROD025,R08,1164,7,1,1,58.08,19.34,1092,25,8
274,2024-01,CUST00012,PROD006,R05,5674,13,1,0,173.89,135.06,12,6,5
275,2024-01,CUST04579,PROD014,R02,10071,12,1,1,258.25,50.11,4579,14,2
276,2024-01,CUST01168,PROD016,R02,1976,1,1,1,228.39,26.3,1168,16,2
277,2024-01,CUST04148,PROD012,R10,3993,16,1,0,773.5,186.7,4148,12,10
278,2024-01,CUST03151,PROD017,R09,1759,7,0,1,197.56,36.56,3151,17,9
279,2024-01,CUST01418,PROD012,R08,4098,18,1,1,516.55,20.79,1418,12,8
280,2024-01,CUST01497,PROD012,R06,2231,19,1,1,261.42,66.31,1497,12,6
281,2024-01,CUST04336,PROD018,R05,7723,5,1,1,103.41,343.74,4336,18,5
282,2024-01,CUST02423,PROD022,R08,2838,20,1,1,307.87,112.79,2423,22,8
283,2024-01,CUST02912,PROD017,R04,2246,22,1,1,254.71,36.6,2912,17,4
284,2024-01,CUST00620,PROD017,R08,2175,14,1,1,128.84,53.19,620,17,8
285,2024-01,CUST03809,PROD002,R02,17067,9,0,1,2158.76,460.12,3809,2,2
286,2024-01,CUST02347,PROD023,R10,8180,21,1,1,171.89,364.41,2347,23,10
287,2024-01,CUST03713,PROD022,R03,533,21,1,1,53.94,10.54,3713,22,3
288,2024-01,CUST02396,PROD024,R11,2904,15,1,0,413.63,135.5,2396,24,11
289,2024-01,CUST03378,PROD002,R10,744,9,1,1,122.24,18.92,3378,2,10
290,2024-01,CUST00629,PROD001,R01,4929,19,1,1,600.7,90.48,629,1,1
291,2024-01,CUST01099,PROD020,R11,1141,11,0,1,18.14,24.31,1099,20,11
292,2024-01,CUST04369,PROD008,R04,4774,4,1,1,357.16,75.07,4369,8,4
293,2024-01,CUST04931,PROD021,R03,1978,23,1,1,6.67,71.67,4931,21,3
294,2024-01,CUST00679,PROD020,R06,2101,23,1,1,129.53,22.0,679,20,6
295,2024-01,CUST03867,PROD010,R11,1720,6,1,1,306.21,44.75,3867,10,11
296,2024-01,CUST02972,PROD012,R12,1555,18,1,1,133.04,48.66,2972,12,12
297,2024-01,CUST01669,PROD006,R07,985,16,1,1,51.9,30.21,1669,6,7
298,2024-01,CUST01296,PROD001,R04,8358,16,1,1,973.05,368.07,1296,1,4
299,2024-01,CUST00857,PROD016,R11,1073,9,1,1,40.82,53.49,857,16,11
300,2024-01,CUST04411,PROD007,R02,2602,10,1,1,268.84,0.99,4411,7,2
301,2024-01,CUST01518,PROD017,R02,4598,1,1,1,554.9,209.93,1518,17,2
302,2024-01,CUST02343,PROD008,R11,24229,5,1,1,772.55,768.75,2343,8,11
303,2024-01,CUST00699,PROD021,R07,7715,23,1,1,1118.97,88.27,699,21,7
304,2024-01,CUST03924,PROD020,R08,2218,18,1,0,368.54,18.5,3924,20,8
305,2024-01,CUST01509,PROD020,R01,955,12,0,1,139.08,33.4,1509,20,1
306,2024-01,CUST03808,PROD011,R03,1776,13,1,1,338.01,57.33,3808,11,3
307,2024-01,CUST04307,PROD006,R08,2377,10,1,1,90.33,85.11,4307,6,8
308,2024-01,CUST04174,PROD014,R11,1776,21,0,1,310.6,0.1,4174,14,11
