customer_key,customer_id,company_name,segment,industry,company_size,signup_date
93,CUST00093,Montoya-Brennan,MidMarket,Education,Medium,2022-11-20
94,CUST00094,"Dillon, Barnes and Woodward",SMB,Education,Small,2022-11-05
95,CUST00095,"Arnold, Johnson and Harris",MidMarket,Retail,Large,2024-12-15
96,CUST00096,"Jackson, Diaz and King",SMB,Education,Small,2022-09-30
97,CUST00097,"Thompson, Moore and Smith",SMB,Technology,Small,2024-05-17
98,CUST00098,"Alexander, Wells and Gonzales",MidMarket,Retail,Large,2022-11-27
99,CUST00099,Webster-Miller,SMB,Technology,Medium,2022-01-18
100,CUST00100,Wells Inc,SMB,Manufacturing,Medium,2022-05-20
101,CUST00101,Johnson-Forbes,MidMarket,Technology,Small,2025-01-27
102,CUST00102,"Rivas, Cook and Salazar",SMB,Technology,Medium,2022-12-15
103,CUST00103,Smith-Stephenson,SMB,Retail,Small,2023-02-23
104,CUST00104,Oconnell-Burnett,Enterprise,Manufacturing,Small,2023-01-11
105,CUST00105,"Johnson, Davis and Norton",Enterprise,Technology,Large,2024-03-09
106,CUST00106,Rodgers Inc,Enterprise,Technology,Medium,2023-08-02
107,CUST00107,Harrison Inc,SMB,Healthcare,Large,2022-03-14
108,CUST00108,"Barnes, French and Vincent",SMB,Healthcare,Large,2024-12-16
109,CUST00109,"Rodriguez, Tanner and Woods",SMB,Healthcare,Large,2026-02-24
110,CUST00110,"Nelson, King and Hanson",MidMarket,Healthcare,Medium,2023-01-24
111,CUST00111,Nicholson Group,SMB,Technology,Small,2025-11-07
112,CUST00112,Aguilar Inc,SMB,Manufacturing,Medium,2025-02-14
113,CUST00113,"Austin, Martinez and Johnson",SMB,Retail,Medium,2021-12-18
114,CUST00114,Johnson-Mendez,SMB,Manufacturing,Medium,2025-11-19
115,CUST00115,Morris PLC,Enterprise,Finance,Small,2023-05-05
116,CUST00116,Hill and Sons,Enterprise,Education,Medium,2025-08-20
117,CUST00117,"Carpenter, Moore and Richardson",SMB,Finance,Medium,2023-09-02
118,CUST00118,"Henry, Koch and Jordan",Enterprise,Education,Large,2025-08-30
119,CUST00119,Garcia Inc,MidMarket,Education,Small,2026-02-24
120,CUST00120,Morris-Vargas,SMB,Healthcare,Medium,2025-06-29
121,CUST00121,"Wheeler, Harris and Lyons",MidMarket,Healthcare,Medium,2023-12-11
122,CUST00122,Cortez Group,MidMarket,Retail,Small,2023-09-25
123,CUST00123,"Hill, Garcia and Thomas",MidMarket,Manufacturing,Small,2021-07-20
124,CUST00124,Oliver-White,MidMarket,Education,Small,2026-02-17
125,CUST00125,Harris-Johnson,Enterprise,Education,Large,2025-08-15
126,CUST00126,Washington-Warren,SMB,Finance,Small,2021-08-31
127,CUST00127,Tucker LLC,SMB,Healthcare,Medium,2023-06-26
128,CUST00128,Villegas Group,Enterprise,Retail,Medium,2024-02-06
129,CUST00129,"Smith, Schwartz and Duarte",Enterprise,Manufacturing,Medium,2025-12-18
130,CUST00130,Cox Ltd,SMB,Technology,Small,2025-05-25
131,CUST00131,Williams Ltd,Enterprise,Healthcare,Small,2024-06-04
132,CUST00132,Barnes-Patrick,MidMarket,Education,Medium,2025-08-09
133,CUST00133,"Mcintyre, White and Kerr",SMB,Manufacturing,Small,2025-01-05
134,CUST00134,Davis Group,SMB,Manufacturing,Large,2026-01-12
135,CUST00135,"Mcguire, Lynch and Cross",SMB,Manufacturing,Medium,2023-12-14
136,CUST00136,Martin Inc,SMB,Retail,Medium,2021-08-08
137,CUST00137,Green-White,MidMarket,Manufacturing,Medium,2023-03-25
138,CUST00138,Rodriguez and Sons,Enterprise,Education,Small,2023-05-23
139,CUST00139,"Mitchell, Singleton and Roberts",Enterprise,Education,Medium,2026-02-23
140,CUST00140,"Smith, Williams and Thompson",SMB,Manufacturing,Medium,2026-01-06
141,CUST00141,"Briggs, Bauer and Thomas",SMB,Manufacturing,Large,2024-01-18
142,CUST00142,"Cantrell, Fields and Ramirez",MidMarket,Education,Medium,2021-08-08
143,CUST00143,Mckee-Gutierrez,SMB,Healthcare,Medium,2025-05-30
144,CUST00144,Abbott-Miller,SMB,Finance,Medium,2022-05-31
145,CUST00145,Griffin-Wilson,MidMarket,Healthcare,Medium,2025-05-18
146,CUST00146,Logan PLC,SMB,Technology,Small,2024-01-19
147,CUST00147,"Nash, Sanchez and Hunt",SMB,Healthcare,Small,2022-01-19
148,CUST00148,Johnson-West,SMB,Retail,Medium,2022-07-08
149,CUST00149,"Lynch, Patton and Moore",SMB,Technology,Small,2021-07-27
150,CUST00150,"Davidson, Hubbard and Turner",SMB,Retail,Small,2022-01-04
151,CUST00151,Suarez Group,SMB,Technology,Small,2022-06-29
152,CUST00152,Brown-Williams,SMB,Retail,Small,2023-05-14
153,CUST00153,Turner-Pena,Enterprise,Education,Medium,2023-02-07
154,CUST00154,Smith-Cohen,Enterprise,Healthcare,Large,2026-02-01
155,CUST00155,Wiley-Myers,MidMarket,Healthcare,Small,2021-12-03
156,CUST00156,Parker-Guerrero,SMB,Healthcare,Medium,2025-12-04
157,CUST00157,Glenn Inc,SMB,Technology,Large,2022-07-08
158,CUST00158,"Hayes, Wright and Moss",Enterprise,Manufacturing,Medium,2026-04-26
159,CUST00159,Thompson Ltd,SMB,Manufacturing,Small,2023-09-19
160,CUST00160,"Davis, Harris and Cox",SMB,Technology,Medium,2024-06-23
161,CUST00161,Hudson-Obrien,MidMarket,Retail,Small,2023-08-17
162,CUST00162,Rogers-Daniels,SMB,Finance,Medium,2024-12-28
163,CUST00163,Johnston-Martin,MidMarket,Education,Small,2022-05-15
164,CUST00164,"Valencia, Pierce and Hurst",MidMarket,Manufacturing,Large,2023-01-27
165,CUST00165,Frazier and Sons,SMB,Technology,Medium,2025-04-14
166,CUST00166,"White, Williams and Beck",SMB,Education,Small,2023-06-01
167,CUST00167,Rose Group,MidMarket,Retail,Large,2025-12-10
168,CUST00168,Washington-Hopkins,MidMarket,Finance,Small,2024-09-23
169,CUST00169,Smith-Hurley,SMB,Finance,Small,2023-04-21
170,CUST00170,Webster LLC,MidMarket,Education,Large,2023-12-28
171,CUST00171,"Warner, Hill and Andrews",SMB,Retail,Medium,2025-03-01
172,CUST00172,Kelly-Mcdaniel,SMB,Manufacturing,Small,2023-05-31
173,CUST00173,Ortega LLC,MidMarket,Technology,Large,2022-03-12
174,CUST00174,"Lynch, Powell and Hoffman",MidMarket,Manufacturing,Large,2022-05-07
175,CUST00175,Baker-Curry,SMB,Manufacturing,Small,2021-07-29
176,CUST00176,"Pitts, Cook and Martinez",MidMarket,Education,Large,2022-11-29
177,CUST00177,"Haas, Anthony and Jones",Enterprise,Retail,Large,2023-09-25
178,CUST00178,"Jackson, Reynolds and Lee",MidMarket,Retail,Medium,2022-11-17
179,CUST00179,"Fox, Cohen and Myers",SMB,Technology,Medium,2025-02-10
180,CUST00180,Turner and Sons,SMB,Technology,Small,2025-07-19
181,CUST00181,"Sutton, Grant and Rodriguez",SMB,Education,Small,2024-08-30
182,CUST00182,"Moyer, Fernandez and Smith",MidMarket,Technology,Medium,2024-01-24
183,CUST00183,"Jones, Johnson and Higgins",SMB,Healthcare,Small,2022-01-27
184,CUST00184,Clark-Sims,MidMarket,Education,Large,2024-07-31
185,CUST00185,"Miller, Cannon and Lucas",SMB,Manufacturing,Small,2023-01-07
186,CUST00186,"Lindsey, Briggs and Perry",SMB,Technology,Large,2022-02-26
187,CUST00187,Taylor-Whitney,SMB,Manufacturing,Medium,2026-03-12
188,CUST00188,Odom-Kelly,SMB,Retail,Small,2025-08-10
189,CUST00189,Patterson-Reed,MidMarket,Retail,Medium,2023-08-17
190,CUST00190,Bailey Inc,SMB,Education,Large,2021-09-11
191,CUST00191,"Case, Howe and Dodson",MidMarket,Healthcare,Medium,2023-07-01
192,CUST00192,Benson LLC,Enterprise,Finance,Small,2026-04-24
193,CUST00193,"Brown, Mitchell and Robertson",SMB,Technology,Large,2023-10-12
194,CUST00194,Graves-Rojas,SMB,Education,Small,2025-05-22
195,CUST00195,"Richardson, Gray and Kelly",MidMarket,Technology,Small,2025-05-09
196,CUST00196,"Horton, Schneider and Thornton",SMB,Education,Small,2022-11-24
197,CUST00197,Krause PLC,SMB,Finance,Small,2026-05-17
198,CUST00198,Miller Inc,SMB,Manufacturing,Large,2025-11-10
199,CUST00199,Palmer and Sons,SMB,Education,Small,2025-04-26
200,CUST00200,Mayer PLC,SMB,Manufacturing,Large,2022-11-14
201,CUST00201,Reyes-Rivera,SMB,Technology,Medium,2026-01-11
202,CUST00202,"Fisher, Holmes and Thomas",Enterprise,Technology,Medium,2024-07-20
203,CUST00203,Kirby and Sons,MidMarket,Technology,Small,2023-12-16
204,CUST00204,Dunn Ltd,SMB,Retail,Large,2022-10-29
205,CUST00205,Clarke-Anderson,Enterprise,Finance,Medium,2022-07-27
206,CUST00206,Johnson LLC,SMB,Education,Small,2024-12-17
207,CUST00207,"Luna, Bradley and Powell",MidMarket,Finance,Medium,2022-04-28
208,CUST00208,Alexander-Mcgee,MidMarket,Finance,Medium,2023-12-06
209,CUST00209,"Short, Holt and Cole",MidMarket,Manufacturing,Small,2022-12-09
210,CUST00210,"Powell, Jennings and Henderson",MidMarket,Retail,Medium,2024-11-03
211,CUST00211,Lyons and Sons,Enterprise,Technology,Small,2024-09-07
212,CUST00212,"Novak, Wood and Shaw",MidMarket,Manufacturing,Small,2025-04-10
213,CUST00213,"Martin, Sullivan and Juarez",Enterprise,Retail,Small,2022-04-26
214,CUST00214,"Howard, Morris and Stewart",SMB,Retail,Small,2021-09-08
215,CUST00215,Hopkins Group,SMB,Healthcare,Medium,2022-01-11
216,CUST00216,"Bartlett, Mcintosh and Morales",SMB,Healthcare,Large,2024-12-18
217,CUST00217,Rodriguez-Greene,Enterprise,Technology,Medium,2022-02-25
218,CUST00218,Payne LLC,SMB,Technology,Large,2021-12-01
219,CUST00219,Hammond PLC,SMB,Technology,Medium,2022-08-07
220,CUST00220,"Gillespie, Dillon and Patel",SMB,Technology,Small,2022-11-22
221,CUST00221,Blackwell-Copeland,Enterprise,Technology,Large,2025-08-01
222,CUST00222,Ward-Hensley,Enterprise,Manufacturing,Large,2024-04-29
223,CUST00223,Brown Ltd,SMB,Technology,Small,2023-10-28
224,CUST00224,Baldwin-Levine,SMB,Education,Large,2022-12-15
225,CUST00225,"Morales, Contreras and Romero",SMB,Manufacturing,Small,2022-01-17
226,CUST00226,Gonzales PLC,SMB,Healthcare,Large,2022-10-08
227,CUST00227,"Macdonald, Delgado and Harris",MidMarket,Education,Small,2023-04-24
228,CUST00228,Jones-Ritter,Enterprise,Retail,Small,2024-04-22
229,CUST00229,Lynch Group,SMB,Education,Small,2021-09-15
230,CUST00230,"Griffin, Gray and Myers",SMB,Healthcare,Large,2024-12-19
231,CUST00231,Ross-Yang,Enterprise,Healthcare,Medium,2024-09-21
232,CUST00232,Gonzalez Inc,MidMarket,Education,Large,2021-08-13
233,CUST00233,Johnson-Perez,MidMarket,Finance,Small,2025-12-09
234,CUST00234,Cox-Dickerson,SMB,Manufacturing,Medium,2025-08-03
235,CUST00235,Torres Ltd,SMB,Technology,Small,2025-10-03
236,CUST00236,Wallace-Stephenson,Enterprise,Manufacturing,Small,2025-10-09
237,CUST00237,Johnson LLC,SMB,Retail,Large,2023-07-29
238,CUST00238,Gonzalez Inc,SMB,Finance,Medium,2023-01-17
239,CUST00239,Rodgers Group,MidMarket,Healthcare,Medium,2025-02-19
240,CUST00240,Harris Ltd,MidMarket,Retail,Large,2022-05-30
241,CUST00241,"Anderson, Powell and Chen",SMB,Finance,Small,2023-09-11
242,CUST00242,Smith-Edwards,MidMarket,Finance,Medium,2021-10-01
243,CUST00243,"Flores, Smith and Allen",SMB,Retail,Small,2023-10-12
244,CUST00244,"Farmer, Cruz and Harris",SMB,Finance,Medium,2022-02-07
245,CUST00245,Russo-Ramos,SMB,Healthcare,Small,2025-10-06
246,CUST00246,Tucker LLC,MidMarket,Manufacturing,Medium,2022-11-27
247,CUST00247,"Mullins, Smith and Anderson",SMB,Healthcare,Small,2022-03-10
248,CUST00248,Sandoval Ltd,MidMarket,Retail,Large,2025-04-06
249,CUST00249,"Oconnell, Smith and York",Enterprise,Technology,Large,2023-09-23
250,CUST00250,Torres Group,Enterprise,Retail,Medium,2025-02-08
251,CUST00251,Orr-Lara,SMB,Finance,Small,2026-01-20
252,CUST00252,"Romero, Manning and Payne",SMB,Retail,Large,2023-04-09
253,CUST00253,Reyes and Sons,SMB,Healthcare,Small,2022-06-19
254,CUST00254,Alvarez-Hall,Enterprise,Retail,Small,2024-03-31
255,CUST00255,Smith-Newton,Enterprise,Finance,Medium,2025-01-10
256,CUST00256,Lucas-Garcia,Enterprise,Manufacturing,Medium,2025-11-25
257,CUST00257,Walker-Ruiz,Enterprise,Technology,Medium,2022-08-23
258,CUST00258,Green-Giles,SMB,Technology,Medium,2024-11-21
259,CUST00259,Wise Inc,MidMarket,Retail,Small,2025-12-07
260,CUST00260,Dixon LLC,Enterprise,Technology,Medium,2022-12-14
261,CUST00261,"Gomez, Bailey and Meyer",Enterprise,Education,Large,2026-05-05
262,CUST00262,Clark-Mendoza,SMB,Manufacturing,Small,2025-04-19
263,CUST00263,"Rogers, Turner and Crane",MidMarket,Technology,Small,2022-08-21
264,CUST00264,Walsh Ltd,SMB,Finance,Large,2024-11-13
265,CUST00265,"Lewis, Boyle and Ramirez",MidMarket,Education,Medium,2022-10-17
266,CUST00266,"Ramirez, Johnson and Smith",SMB,Education,Medium,2024-11-29
267,CUST00267,Lang LLC,SMB,Education,Large,2021-11-26
268,CUST00268,Luna Group,MidMarket,Retail,Large,2023-01-09
269,CUST00269,Horn PLC,SMB,Retail,Large,2022-04-09
270,CUST00270,"Duncan, Rangel and Dillon",Enterprise,Healthcare,Medium,2023-02-17
271,CUST00271,"Daniels, Jensen and Jennings",MidMarket,Retail,Large,2024-01-21
272,CUST00272,Snyder Inc,Enterprise,Manufacturing,Medium,2023-12-20
273,CUST00273,Taylor and Sons,SMB,Technology,Large,2025-01-26
274,CUST00274,"Foster, Ruiz and Nelson",Enterprise,Education,Small,2026-05-03
275,CUST00275,Hansen and Sons,SMB,Finance,Small,2023-06-12
276,CUST00276,Clark LLC,SMB,Retail,Small,2024-07-30
277,CUST00277,Wilson-Dominguez,MidMarket,Finance,Large,2022-06-15
278,CUST00278,"Kaiser, Frank and French",SMB,Technology,Large,2023-10-09
279,CUST00279,"Jefferson, Beck and Gonzalez",MidMarket,Manufacturing,Medium,2024-04-22
280,CUST00280,"Collins, Anderson and Hamilton",SMB,Healthcare,Large,2024-07-15
281,CUST00281,Sanchez Inc,MidMarket,Manufacturing,Medium,2021-11-06
282,CUST00282,Myers-Warren,SMB,Technology,Small,2021-12-19
283,CUST00283,Christian-Greene,Enterprise,Education,Medium,2024-07-24
284,CUST00284,Rivers-Moore,MidMarket,Finance,Medium,2024-09-21
285,CUST00285,Meza-Olsen,Enterprise,Education,Medium,2023-03-18
286,CUST00286,"Everett, Jones and Grant",Enterprise,Technology,Large,2023-09-18
287,CUST00287,"Hardin, Tucker and White",Enterprise,Manufacturing,Large,2024-07-09
288,CUST00288,Ramirez-Carroll,SMB,Finance,Large,2025-10-24
289,CUST00289,Swanson-Brown,SMB,Education,Medium,2023-05-17
290,CUST00290,Reese and Sons,MidMarket,Education,Large,2024-05-06
291,CUST00291,Lozano-Evans,SMB,Healthcare,Large,2024-01-15
292,CUST00292,"Neal, Morris and Romero",MidMarket,Healthcare,Large,2022-10-25
293,CUST00293,Johnson PLC,SMB,Manufacturing,Medium,2023-10-18
294,CUST00294,Anderson Group,SMB,Finance,Large,2021-10-27
295,CUST00295,Bryant-Ruiz,Enterprise,Finance,Small,2022-08-26
296,CUST00296,Shepherd-Stafford,MidMarket,Technology,Medium,2024-12-14
297,CUST00297,"Banks, Thomas and Ramirez",SMB,Education,Small,2024-08-27
298,CUST00298,Nelson-Moses,MidMarket,Finance,Small,2021-11-17
299,CUST00299,"Jenkins, Campbell and Kline",MidMarket,Technology,Medium,2023-09-21
300,CUST00300,Kent-Johnson,MidMarket,Healthcare,Small,2025-11-15
301,CUST00301,"Garcia, Ferguson and Friedman",Enterprise,Finance,Medium,2023-03-15
302,CUST00302,Alvarado Ltd,MidMarket,Healthcare,Small,2024-07-21
303,CUST00303,"Martin, Hoffman and Torres",Enterprise,Technology,Small,2025-03-05
304,CUST00304,Webster-Riggs,Enterprise,Education,Large,2023-12-01
305,CUST00305,"Castro, Nguyen and Johnson",SMB,Technology,Small,2025-05-14
306,CUST00306,"Bush, Bright and Berry",SMB,Finance,Medium,2026-05-15
307,CUST00307,Houston Ltd,Enterprise,Retail,Small,2024-04-08
308,CUST00308,Smith Ltd,MidMarket,Retail,Large,2024-09-30
309,CUST00309,Mcfarland Group,SMB,Education,Small,2025-11-14
310,CUST00310,Anderson LLC,Enterprise,Technology,Small,2023-01-03
311,CUST00311,"Hernandez, Brown and Chang",MidMarket,Education,Large,2025-11-02
312,CUST00312,"Garza, Peterson and Wright",Enterprise,Manufacturing,Large,2021-11-22
313,CUST00313,"Ingram, Brewer and Frank",SMB,Healthcare,Medium,2026-02-23
314,CUST00314,Ortiz Inc,MidMarket,Manufacturing,Medium,2025-07-02
315,CUST00315,"Jones, Thomas and Smith",MidMarket,Education,Large,2025-06-11
316,CUST00316,Kim PLC,SMB,Technology,Large,2022-07-27
317,CUST00317,"Carlson, Wright and Hanson",MidMarket,Technology,Small,2025-07-28
318,CUST00318,Miller-Chen,MidMarket,Healthcare,Medium,2024-08-20
319,CUST00319,Carlson-Moore,Enterprise,Retail,Large,2022-11-23
320,CUST00320,Torres-Rubio,Enterprise,Education,Large,2024-01-11
321,CUST00321,"Castillo, Williams and Cabrera",SMB,Healthcare,Large,2025-03-23
322,CUST00322,"Brown, Simpson and Melton",SMB,Technology,Medium,2025-01-07
323,CUST00323,"Zavala, Meyer and Vincent",SMB,Finance,Small,2024-05-08
324,CUST00324,"Vincent, Morris and White",Enterprise,Technology,Small,2024-02-16
325,CUST00325,"Gonzalez, Wolfe and Vargas",MidMarket,Technology,Medium,2025-11-11
326,CUST00326,"Ferrell, Hodges and Pierce",MidMarket,Healthcare,Medium,2021-11-06
327,CUST00327,"Wilson, Little and Harvey",MidMarket,Healthcare,Small,2024-10-11
328,CUST00328,"Miller, Moore and Arellano",Enterprise,Manufacturing,Large,2023-03-11
329,CUST00329,Brown Inc,MidMarket,Manufacturing,Large,2024-06-14
330,CUST00330,"Wilson, Lewis and Davila",SMB,Manufacturing,Small,2021-09-29
331,CUST00331,Moran Ltd,MidMarket,Finance,Small,2024-06-10
332,CUST00332,"Owens, Booth and Barnett",SMB,Retail,Large,2025-09-14
333,CUST00333,Price Inc,SMB,Healthcare,Large,2024-03-08
334,CUST00334,"Allen, Shepherd and Flynn",SMB,Finance,Large,2022-12-10
335,CUST00335,Best-Newton,SMB,Education,Medium,2024-06-09
336,CUST00336,Salazar-Andrade,MidMarket,Healthcare,Medium,2021-08-29
337,CUST00337,Lewis LLC,SMB,Healthcare,Small,2024-08-02
338,CUST00338,Webb and Sons,Enterprise,Healthcare,Small,2023-04-07
339,CUST00339,Thompson-Lee,MidMarket,Finance,Large,2023-05-18
340,CUST00340,"Willis, Mccarthy and Lewis",SMB,Finance,Small,2021-08-29
341,CUST00341,"Howell, Weber and Nguyen",SMB,Healthcare,Small,2024-08-15
342,CUST00342,Baker-Luna,SMB,Healthcare,Small,2023-03-21
343,CUST00343,Lopez PLC,MidMarket,Manufacturing,Medium,2023-12-26
344,CUST00344,Peterson Inc,SMB,Education,Large,2024-10-28
345,CUST00345,Fitzgerald PLC,MidMarket,Education,Small,2024-04-18
346,CUST00346,"Stuart, Watts and Miller",SMB,Education,Medium,2024-07-26
347,CUST00347,"Cabrera, Smith and Ellis",SMB,Technology,Large,2024-12-06
348,CUST00348,King Ltd,MidMarket,Retail,Large,2022-12-26
349,CUST00349,Wong Group,MidMarket,Technology,Small,2023-03-22
350,CUST00350,Gibbs PLC,MidMarket,Finance,Small,2023-01-25
351,CUST00351,Kelley Group,Enterprise,Technology,Large,2022-07-31
352,CUST00352,Winters Ltd,MidMarket,Technology,Medium,2022-10-28
353,CUST00353,"Wheeler, Brown and Smith",SMB,Healthcare,Large,2023-05-17
354,CUST00354,Gordon-Kim,MidMarket,Healthcare,Large,2024-01-11
355,CUST00355,"Gentry, Gibson and Mitchell",MidMarket,Retail,Large,2023-12-14
